Artist Name,NSFW Level,Top NSFW Tag 1,Top NSFW Tag 2,Top NSFW Tag 3,Image URL,futanari,tentacle penetration,feminization,chastity,mind control,machine sex,bimbofication,bondage,pegging,sissification,hypnosis,anal,inflation,oversized toy,oral sex,dominant female,machine
incase,Ecchi,sissification,mind control,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/incase.jpg,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0
personal ami,Hentai,machine sex,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/personal%20ami.jpg,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1
aenaluck,Extreme,chastity,anal,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aenaluck.jpg,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1
miyoshi yoshimi,Hentai,chastity,oversized toy,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/miyoshi%20yoshimi.jpg,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0
21yc (september breeze),Extreme,pegging,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/21yc%20%28september%20breeze%29.jpg,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
nai ga,Extreme,anal,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nai%20ga.jpg,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0
147,Extreme,feminization,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/147.jpg,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0
csyday,Hentai,oversized toy,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/csyday.jpg,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1
hungry clicker,Ecchi,chastity,inflation,pegging,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/hungry%20clicker.jpg,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
kawakami rokkaku,Hentai,machine sex,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kawakami%20rokkaku.jpg,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
kedama milk,Hentai,chastity,bondage,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kedama%20milk.jpg,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0
min (120716),Hentai,chastity,bimbofication,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/min%20%28120716%29.jpg,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0
oogure ito,Hentai,hypnosis,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oogure%20ito.jpg,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0
pumpkinspicelatte,Ecchi,oversized toy,sissification,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/pumpkinspicelatte.jpg,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
013 (hamsasuke),Hentai,sissification,bondage,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/013%20%28hamsasuke%29.jpg,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
13 (bbr584607091),Extreme,dominant female,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/13%20%28bbr584607091%29.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
13-gou,Hentai,chastity,futanari,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/13-gou.jpg,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
1jumangoku,Extreme,mind control,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/1jumangoku.jpg,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0
2dswirl,Hentai,feminization,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2dswirl.jpg,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0
40010prototype,Extreme,chastity,pegging,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/40010prototype.jpg,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0
akairiot,Hentai,machine sex,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/akairiot.jpg,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
alchera,Extreme,dominant female,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/alchera.jpg,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
aneco (westsea1227),Hentai,futanari,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aneco%20%28westsea1227%29.jpg,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1
aro (charged time out),Extreme,chastity,inflation,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aro%20%28charged%20time%20out%29.jpg,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0
atsumisu,Hentai,chastity,bimbofication,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/atsumisu.jpg,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
azuumori,Hentai,oversized toy,feminization,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/azuumori.jpg,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
banishment,Hentai,chastity,pegging,dominant female,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/banishment.jpg,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0
buta (uhoiiotoko),Extreme,anal,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/buta%20%28uhoiiotoko%29.jpg,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
caryo,Hentai,bondage,chastity,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/caryo.jpg,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0
chanmura,Hentai,chastity,feminization,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/chanmura.jpg,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0
creayus,Ecchi,bimbofication,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/creayus.jpg,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
edpan,Hentai,bimbofication,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/edpan.jpg,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1
endou okito,Extreme,hypnosis,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/endou%20okito.jpg,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0
eruichi (redphantom),Extreme,futanari,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/eruichi%20%28redphantom%29.jpg,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1
gashi-gashi,Hentai,chastity,pegging,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/gashi-gashi.jpg,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1
hirokiku,Hentai,pegging,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/hirokiku.jpg,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0
huangdanlan,Hentai,anal,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/huangdanlan.jpg,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
jizeru (giselebon),Ecchi,dominant female,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/jizeru%20%28giselebon%29.jpg,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1
kaguura (kagu),Ecchi,feminization,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kaguura%20%28kagu%29.jpg,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1
kim eb,Ecchi,chastity,tentacle penetration,dominant female,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kim%20eb.jpg,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1
kinkymation,Ecchi,mind control,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kinkymation.jpg,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0
k-suwabe,Extreme,inflation,chastity,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/k-suwabe.jpg,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1
mirino,Extreme,chastity,pegging,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/mirino.jpg,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
munakata (sekimizu kazuki),Hentai,chastity,bimbofication,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/munakata%20%28sekimizu%20kazuki%29.jpg,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
nagiko (mangalove1111),Hentai,chastity,feminization,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nagiko%20%28mangalove1111%29.jpg,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1
nayt layt,Extreme,machine sex,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nayt%20layt.jpg,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
nephlite,Hentai,oversized toy,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nephlite.jpg,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0
